titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
I LOVE YOU COIFFURE,Muriel ROBIN,CARSON PRODUCTION,75007,2020-01-13,2020-01-14,48.85935200935332,2.322588815693661,"https://www.imdb.com/search/title/?title=I+LOVE+YOU+COIFFURE&release_date=2015-01-01,2022-12-31",I Love You Coiffure,2020,Tous publics,107.0,Comedy            ,3.2,,71.0,Liliane and Maud are twin sisters. The first is a modest provincial hairdresser while the second leads the great life in Paris. They both fight over their mother's custody.
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75007,2020-01-02,2020-01-03,48.85822906224247,2.297965154021761,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75005,2020-01-29,2020-01-29,48.850053745571934,2.355053890401763,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75010,2020-02-05,2020-02-05,48.882942010233705,2.349835771107929,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75008,2020-07-16,2020-07-16,48.87580064849134,2.320943502750757,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75007,2020-01-02,2020-01-03,48.85733339215903,2.29253915294782,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75009,2020-02-04,2020-02-04,48.87831116815731,2.342718966211627,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75009,2020-02-07,2020-02-07,48.88118206305232,2.343410309007071,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75012,2020-07-18,2020-07-18,48.81860464728752,2.450400762622631,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75018,2020-01-31,2020-01-31,48.89301692767289,2.346975562795389,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75003,2020-07-16,2020-07-16,48.86014641348665,2.364447937401023,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75005,2020-01-28,2020-01-28,48.850053745571934,2.355053890401763,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75009,2020-02-11,2020-02-11,48.87628192859939,2.338495635080114,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75008,2020-07-16,2020-07-16,48.87806959259064,2.319984300055601,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75013,2020-07-18,2020-07-18,48.819936416144046,2.372521514243095,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75010,2020-02-05,2020-02-05,48.882942010233705,2.349835771107929,"https://www.imdb.com/search/title/?title=PETITE+LE%C3%87ON+D%27AMOUR&release_date=2015-01-01,2022-12-31",Petite leçon d'amour,2021,Tous publics,86.0,"Comedy, Romance            ",5.9,,40.0,"Julie is a young woman who walks dogs in Paris in her spare time. While walking, she takes shelter in a cafe to escape a rainstorm. In the cafe, she finds a forgotten folder with a math ...                "
