titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive
LA PAGE BLANCHE,Murielle MAGELLAN,PARTNERS IN CRIME,75006,2021-06-24,2021-06-24,48.850561164908335,2.342548848818109,gauche
Eiffel i'm in love 2,Rizal Mantovani,IFILMFRANCE,75018,2017-06-07,2017-06-07,48.8869774949019,2.339730404204459,droite
LE REDOUTABLE,MICHEL HAZANAVICIUS,LES COMPAGNONS DU CINEMA,75014,2016-08-09,2016-08-10,48.83611599979493,2.330821000489981,gauche
RASCALS,Jimmy LAPORAL-TRESOR,AGAT FILMS et COMPAGNIE,75006,2021-06-30,2021-07-01,48.8429920111035,2.328051546393358,gauche
Eiffel i'm in love 2,Rizal Mantovani,IFILMFRANCE,75018,2017-06-07,2017-06-07,48.88676665291567,2.338504486298354,droite
RASCALS,Jimmy LAPORAL-TRESOR,AGAT FILMS et COMPAGNIE,75012,2021-06-28,2021-06-28,48.85105213220588,2.37313533189822,droite
GEMINI,Christopher Mac Quarrie,FIRSTEP,75116,2017-05-23,2017-05-23,48.86341511691408,2.28693166608925,couronne
MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,75015,2016-02-03,2016-02-03,48.84699899991172,2.309894999974473,gauche
Par-dessus l'épaule de Jonas,Jérôme Bonnell,DIAPHANA FILMS,75012,2019-08-28,2019-08-29,48.83542620885179,2.397853253783704,droite
LA PAGE BLANCHE,Murielle MAGELLAN,PARTNERS IN CRIME,75018,2021-06-29,2021-06-30,48.88606650943513,2.363467815751984,droite
"AMI, AMI",VICTOR SAINT MACARY,NORD-OUEST FILMS,75020,2017-02-15,2017-02-15,48.87086679266073,2.395327903861447,droite
Rue des dames,Hamé et Ekoué,LA RUMEUR FILME,75017,2021-07-08,2021-07-08,48.87490832792274,2.292613078997706,droite
DES LUNETTES NOIRES,Claire Denis,Curiosa Films,75020,2017-02-07,2017-02-07,48.86450226948885,2.398543073762808,droite
THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,75007,2016-10-20,2016-10-20,48.86119000024753,2.323632000235316,gauche
L'Enkas,Sarah Marx,La rumeur filme,75018,2018-01-25,2018-01-27,48.88894001877095,2.327735359006979,droite
CA C'EST LA FAMILLE,TEDDY LUSSI MODESTE,KAZAK PRODUCTIONS,75006,2016-08-26,2016-08-26,48.85517099978404,2.341604999820741,gauche
Les Chatouilles 4,Andréa Bescond et Eric Métayer,les films du kiosque,75019,2017-07-12,2017-07-12,48.89300517697759,2.397787506964459,droite
MAMAN A TORT,MARC FITOUSSI,AVENUE B,75013,2016-01-06,2016-01-06,48.834130000130514,2.365090000304122,gauche
KNOCK,LORRAINE LEVY,CURIOSA FILMS,75004,2016-08-16,2016-08-16,48.851204000086426,2.366480999850213,droite
The White Crow,Ralph Fiennes,Montebello Productions,75001,2017-08-23,2017-08-23,48.85510452788805,2.343263041937734,droite
DANIEL,CYRIL MENNEGUN,UNITE DE PRODUCTION,75009,2016-05-30,2016-06-01,48.879763000306944,2.34231200028404,droite
VIVE LA CRISE,JEAN FRANCOIS DAVY,LES FILMS MONTAIGNE,75014,2016-05-26,2016-05-26,48.82022399973837,2.342770000536145,gauche
Par-dessus l'épaule de Jonas,Jérôme Bonnell,DIAPHANA FILMS,75017,2019-09-04,2019-09-04,48.892728053663646,2.303349783126619,droite
FORTE,Katia LEWKOWICZ,QUAD FILMS,75008,2018-11-09,2018-11-09,48.87241268398949,2.303962010891384,droite
La croisade,Louis Garrel,why not productions,75012,2020-06-29,2020-06-29,48.8360695466676,2.408626911817504,droite
ENCHANTEES,Saphia Azzedine et François-Régis Jeanne,CAPTURE THE FLAG FILMS,75116,2017-08-04,2017-08-04,48.85953040574365,2.286971217742924,couronne
UNE BELLE COURSE,CHRISTIAN CARION,UNE HIRONDELLE PRODUCTIONS,75004,2021-07-05,2021-07-08,48.84951695472044,2.36612179723312,droite
Les Traducteurs,Régis ROINSARD,SAS TRESOR FILMS,75015,2018-03-12,2018-03-13,48.84687182873311,2.305874985889858,gauche
TOUT SIMPLEMENT NOIR,"John WAX, Jean-Pascal ZADI",GAUMONT CHEZ GAUMONT PRODUCTION,75002,2019-06-24,2019-06-24,48.87047335676285,2.344612714227094,droite
Les Traducteurs,Régis ROINSARD,SAS TRESOR FILMS,75013,2018-03-15,2018-03-17,48.82998285524501,2.348959810312217,gauche
Rue des dames,Hamé et Ekoué,LA RUMEUR FILME,75010,2021-07-15,2021-07-15,48.88169989986018,2.353759158460107,droite
YVES,Benoit FORGEARD,ECCE FILMS,75012,2018-03-15,2018-03-15,48.8415782255344,2.45035532586055,droite
LEILA,NAIDRA AYADI,NOLITA CINEMA,75017,2016-11-18,2016-11-18,48.882107999788005,2.294695999652388,droite
Andy,Julien Weill,My Family,75020,2018-03-16,2018-03-16,48.86818288999607,2.386094663226551,droite
LA NUIT A DEVORE LE MONDE,DOMINIQUE ROCHER,HAUT ET COURT,75007,2016-12-05,2016-12-05,48.848250999612496,2.311244999641706,gauche
PLAY,Anthony Marciano,Chapter 2,75019,2018-03-19,2018-03-19,48.88106004297276,2.378559531046913,droite
LES EX,MAURICE BARTHELEMY,RADAR FILMS,75017,2016-08-24,2016-08-25,48.88319999976013,2.321832000626864,droite
